Country,ISO-code,Suicide_rate,Urbanization_rate,Fertility,Life_expectancy,Meat_consumption,Median_age,Population_growth,Sex-ratio,GDP_per_capita
Afghanistan,AFG,6.4,26,4.5,64.5,17.3,27.4,2.41,1.03,2182
Albania,ALB,5.6,62.1,1.6,#N/A,#N/A,32.9,0.26,0.98,14866
Algeria,DZA,3.3,73.7,3,76.7,18.3,28.1,1.89,1.03,16091
Angola,AGO,8.9,66.8,5.5,60.8,19,15.9,3.12,0.95,6763
Antigua and Barbuda,ATG,0.5,24.4,2,76.9,56,31.9,1.03,0.89,30593
Argentina,ARG,9.1,92.1,2.3,76.5,79.7,31.7,0.88,0.98,19971
Armenia,ARM,5.7,63.3,1.8,74.9,27.7,35.1,0.17,0.95,11845
Australia,AUS,11.7,86.2,1.7,83.3,108.2,38.7,1.6,0.99,54799
Austria,AUT,11.4,58.7,1.5,81.4,94.1,44,0.46,0.96,55171
Azerbaijan,AZE,2.6,56.4,1.7,72.9,15.9,32.3,1.35,0.98,19156
Bahrain,BHR,5.7,89.5,2,77.2,70.7,32.3,1.92,1.53,51991
Bangladesh,BGD,6.1,38.2,2,72.3,3.1,26.7,1.19,0.97,5453
Barbados,BRB,0.4,31.2,1.6,79.1,88.7,38.6,0.5,0.94,19364
Belarus,BLR,21.4,79.5,1.4,74.6,58.6,40,-0.1,0.87,21224
Belgium,BEL,15.7,98.1,1.6,81.5,86.1,41.4,0.85,0.97,50904
Belize,BLZ,5.9,46,2.3,74.5,74.7,22.7,2.43,1,8791
Benin,BEN,15.7,48.4,4.8,61.5,16.2,18.2,2.73,0.97,3648
Bhutan,BTN,11.6,42.3,2,71.5,3,27.6,1.68,1.08,10627
Bolivia,BOL,12.9,70.1,2.7,71.2,50,24.3,1.65,0.98,8525
Bosnia and Herzegovina,BIH,6.4,49,1.3,77.3,21.4,42.1,-0.14,0.95,14894
Botswana,BWA,11.5,70.9,2.9,69.3,27.3,24.5,0.86,0.93,19388
Brazil,BRA,6.1,87.1,1.7,75.7,82.4,32.6,0.87,0.97,17106
Brunei,BRN,4.5,78.3,1.8,75.7,#N/A,30.2,1.4,0.96,85011
Bulgaria,BGR,7.9,75.7,1.6,74.9,69.4,42.7,-0.6,0.95,26034
Burkina Faso,BFA,14.8,30.6,5.2,61.2,11.2,17.3,2.86,0.96,2181
Burundi,BDI,15,13.7,5.4,61.2,3.5,17,3.19,0.99,724
Cambodia,KHM,5.9,24.2,2.5,69.6,13.9,25.3,1.76,0.95,5004
Cameroon,CMR,19.5,57.6,4.6,58.9,14.4,18.5,2.54,0.99,4099
Canada,CAN,10.4,81.6,1.5,82.3,108.1,42.2,1.14,0.98,52144
Cape Verde,CPV,15.1,66.7,2.3,72.8,26.3,25.4,0.78,0.95,8716
Central African Republic,CAF,11.6,42.2,4.7,52.8,28,19.7,1.99,0.99,864
Chad,TCD,15.5,23.5,5.7,54,14.3,17.8,3,0.98,2603
Chile,CHL,9.7,87.7,1.6,80,66.4,34.4,0.9,0.97,27150
China,CHN,8,61.4,1.7,76.7,52.4,37.4,0.49,1.06,20984
Colombia,COL,7,81.4,1.8,77.1,33.9,30,1.32,0.98,16265
Comoros,COM,11.1,29.4,4.2,64.1,7.6,19.9,2.44,0.94,2898
Costa Rica,CRI,7.5,80.8,1.8,80.1,40.4,31.3,1.42,1,18651
Croatia,HRV,11.5,57.6,1.5,78.3,49.9,43,-0.32,0.93,29207
Cuba,CUB,10.1,77.2,1.6,78.6,32.2,41.5,-0.05,0.99,8822
Cyprus,CYP,4.5,66.8,1.3,80.8,131.3,36.8,1.11,1.05,42956
Czech Republic,CZE,10.5,74.1,1.7,79.2,77.3,42.1,0.18,0.97,40585
Democratic Republic of the Congo,COD,9.7,45.6,5.9,60.4,4.8,18.6,2.74,1,873
Denmark,DNK,9.2,88.1,1.7,80.8,145.9,42.2,0.36,0.99,55675
Djibouti,DJI,8.5,78.1,2.7,66.6,17.1,23.9,1.52,0.83,5855
Dominican Republic,DOM,10.5,82.5,2.3,73.9,37.8,28.1,1.26,1.02,20625
East Timor,TLS,6.4,31.3,4,69.3,41.3,18.9,2.88,1,5321
Ecuador,ECU,7.2,64.2,2.4,76.8,45,27.7,1.6,0.99,11866
Egypt,EGY,4.4,42.8,3.3,71.8,22.5,23.9,1.66,1.05,14800
El Salvador,SLV,13.5,73.4,2,73.1,21.4,27.1,0.66,0.92,8593
Equatorial Guinea,GNQ,22,73.1,4.5,58.4,#N/A,19.8,2.8,1,19961
Eritrea,ERI,13.8,41.3,4.1,65.9,7.7,19.7,3.28,0.97,1103
Estonia,EST,14.4,69.2,1.7,78.6,67.4,42.7,-0.04,0.88,37606
Eswatini,SWZ,16.7,24.2,3,59.4,#N/A,21.7,1.54,0.9,11139
Ethiopia,ETH,11.4,21.7,4.2,66.2,7.9,17.9,2.58,1,2702
Fiji,FJI,5.5,57.2,2.8,67.3,39.1,28.9,0.78,1.03,12689
Finland,FIN,11.7,85.5,1.4,81.7,67.4,42.5,0.48,0.97,49548
France,FRA,12.1,81,1.9,82.5,101.1,41.4,0.5,0.96,48640
Gabon,GAB,9.6,90.1,4,66.2,46,18.6,2.39,1.08,19839
Georgia,GEO,6.7,59.5,2.1,73.6,26,38.1,0.63,0.92,13200
Germany,DEU,9.1,77.5,1.6,81.2,82.1,47.1,0.11,0.96,55306
Ghana,GHA,8.7,57.3,3.9,63.8,9.9,21.1,2.17,0.97,7343
Greece,GRC,3.8,79.7,1.4,82.1,78.7,44.5,-0.18,0.95,31616
Greenland,GRL,11.3,87.3,2,71.25,63.4,33.9,-0.11,1.08,48182
Grenada,GRD,1.7,36.5,2.1,72.4,97,31.5,0.39,1.03,17434
Guatemala,GTM,2.9,51.8,2.9,74.1,23.8,22.1,2.53,0.99,9009
Guinea,GIN,10.5,44.2,4.7,61.2,6.5,20.1,2.56,1,2574
Guinea,GIN,7.4,44.2,4.7,61.2,6.5,20.1,2.56,1,2574
Guyana,GUY,30.2,26.8,2.5,69.8,31.8,26.2,0.57,1.02,17163
Haiti,HTI,12.2,57.1,2.9,63.7,15.3,23,1.39,0.98,1916
Honduras,HND,3.4,58.4,2.5,75.1,24.7,23,2.03,0.95,5600
Hungary,HUN,13.6,71.9,1.6,76.7,100.7,42.3,-0.28,0.91,35941
Iceland,ISL,13.3,93.9,1.7,82.9,84.8,36.5,0.35,1,56974
India,IND,16.5,34.9,2.2,69.4,5.2,28.1,1.26,1.08,9027
Indonesia,IDN,3.7,56.6,2.3,71.5,8.3,30.2,1.25,1,14841
Iran,IRN,4,75.9,2.9,76.5,23.1,30.3,1.32,1.03,17832
Iraq,IRQ,4.1,70.9,3.7,70.5,18.2,20,2.54,1.01,18755
Ireland,IRL,10.9,63.7,1.8,82.1,106.3,36.8,0.26,1,86988
Israel,ISR,5.2,92.6,2.4,82.8,97.1,29.9,1.81,1.01,40337
Italy,ITA,5.5,71,1.3,83.6,90.4,45.5,0.32,0.93,41582
Ivory Coast,CIV,23,51.7,4.6,57.4,11.3,20.9,2.29,1.01,4754
Jamaica,JAM,2,56.3,2,74.4,56.8,26,0.21,0.98,9932
Japan,JPN,14.3,91.8,1.4,84.5,45.9,47.3,-0.2,0.94,46827
Jordan,JOR,3.7,91.4,2.8,74.4,29.8,22.5,2.19,1.11,9939
Kazakhstan,KAZ,22.8,57.7,2.8,73.2,44.8,30.6,1.43,0.91,30178
Kenya,KEN,5.6,28,3.5,63.3,14.3,19.7,2.7,1,4078
Kiribati,KIR,15.2,55.6,3.6,68.1,32.1,24.6,1.54,0.94,2193
Kuwait,KWT,2.2,#N/A,2.1,75.4,60.2,29.3,3.95,1.38,67891
Kyrgyzstan,KGZ,9.1,36.9,3.3,71.3,39,26.5,1.22,0.96,4193
Laos,LAO,9.3,36.3,2.7,67.6,15,23,1.89,0.99,8684
Latvia,LVA,17.2,68.3,1.6,75.2,45.7,43.6,-1.6,0.86,32987
Lebanon,LBN,3.2,88.9,2.1,78.9,63.1,30.5,0.96,1,15599
Lesotho,LSO,28.9,29,3.1,53.7,15.4,24.2,1.08,0.98,3655
Liberia,LBR,13.4,52.1,4.3,63.7,7.9,17.8,2.68,1,1428
Libya,LBY,5.5,80.7,2.2,72.7,28.6,28.9,0.84,1.05,9446
Lithuania,LTU,25.7,68,1.6,75.7,49.5,43.7,-1.48,0.86,38751
Luxembourg,LUX,10.4,91.5,1.4,82.1,141.7,39.3,2.49,1.02,112045
Madagascar,MDG,6.9,38.5,4.1,66.7,17.6,19.7,2.8,1,1776
Malawi,MWI,7.8,17.4,4.2,63.8,5.1,16.5,2.86,0.98,1292
Malaysia,MYS,6.2,77.2,2,76.1,50.9,28.5,1.66,1.03,34567
Maldives,MDV,2.7,40.7,1.9,#N/A,16.6,28.2,1.93,1.13,24796
Mali,MLI,8.9,43.9,5.9,58.9,19,15.8,2.99,0.95,2569
Malta,MLT,6.5,94.7,1.2,82.4,86.9,41.8,0.4,1.01,49589
Mauritania,MRT,7.5,55.3,4.6,64.7,29.9,20.5,2.49,0.93,5158
Mauritius,MUS,7.3,40.8,1.4,74.9,39.6,35.3,0.42,0.96,26461
Mexico,MEX,5.2,80.7,2.1,75,58.6,28.3,1.24,0.96,21363
Moldova,MDA,13.4,42.8,1.3,71.8,22.7,36.7,-0.04,0.96,8161
Mongolia,MNG,13.3,68.7,2.9,69.7,108.8,28.3,1.52,0.95,15089
Montenegro,MNE,7.9,67.5,1.7,76.8,#N/A,40.7,0.07,0.97,21977
Morocco,MAR,3.1,63.5,3.1,76.5,20.6,29.3,1.43,1,9667
Mozambique,MOZ,8.4,37.1,4.9,60.2,5.6,17.2,2.5,0.97,1372
Myanmar,MMR,8.1,31.1,2.2,66.9,10.7,#N/A,0.85,0.97,7220
Namibia,NAM,11.5,52,3.4,63.4,34,21.2,1.87,0.96,11451
